emotion.negative,emotion.positive,relation.person,relation.conflict,relation.cheated,relation.divorce,relation.love,relation.birth,relation.loss,relation.rejection,relation.family_shaming,relation.reunion,abuse.physical,abuse.mental,abuse.sexual,self_critical,,,,,
imposed-upon,,aunt,,,,,,,,,,,,,,,,,,
impotent,,affluent,,,,,,,,,,,,,,,,,,
imprisoned,,acquaintances,,,,,,,,,,,,,,,,,,
impulsive,,acquaintance,,,,,,,,,,,,,,,,,,
in the dumps,,,,,,,,,,,,,,,,,,,,
in the way,,,,,,,,,,,,,,,,,,,,
inactive,,,,,,,,,,,,,,,,,,,,
inadequate,,,,,,,,,,,,,,,,,,,,
incapable,,,,,,,,,,,,,,,,,,,,
incommunicative,,,,,,,,,,,,,,,,,,,,
incompetent,,,,,,,,,,,,,,,,,,,,
incompatible,,,,,,,,,,,,,,,,,,,,
incomplete,,,,,,,,,,,,,,,,,,,,
incorrect,,,,,,,,,,,,,,,,,,,,
indecisive,,,,,,,,,,,,,,,,,,,,
indifferent,,,,,,,,,,,,,,,,,,,,
indoctrinated,,,,,,,,,,,,,,,,,,,,
inebriated,,,,,,,,,,,,,,,,,,,,
ineffective,,,,,,,,,,,,,,,,,,,,
inefficient,,,,,,,,,,,,,,,,,,,,
inferior,,,,,,,,,,,,,,,,,,,,
infuriated,,,,,,,,,,,,,,,,,,,,
inhibited,,,,,,,,,,,,,,,,,,,,
inhumane,,,,,,,,,,,,,,,,,,,,
injured,,,,,,,,,,,,,,,,,,,,
injusticed,,,,,,,,,,,,,,,,,,,,
insane,,,,,,,,,,,,,,,,,,,,
insecure,,,,,,,,,,,,,,,,,,,,
insignificant,,,,,,,,,,,,,,,,,,,,
insincere,,,,,,,,,,,,,,,,,,,,
insufficient,,,,,,,,,,,,,,,,,,,,
insulted,,,,,,,,,,,,,,,,,,,,
intense,,,,,,,,,,,,,,,,,,,,
interrogated,,,,,,,,,,,,,,,,,,,,
interrupted,,,,,,,,,,,,,,,,,,,,
intimidated,,,,,,,,,,,,,,,,,,,,
intoxicated,,,,,,,,,,,,,,,,,,,,
invalidated,,,,,,,,,,,,,,,,,,,,
invisible,,,,,,,,,,,,,,,,,,,,
irrational,,,,,,,,,,,,,,,,,,,,
irritable,,,,,,,,,,,,,,,,,,,,
irritated,,,,,,,,,,,,,,,,,,,,
isolated,,,,,,,,,,,,,,,,,,,,
jaded,,,,,,,,,,,,,,,,,,,,
jealous,,,,,,,,,,,,,,,,,,,,
jerked around,,,,,,,,,,,,,,,,,,,,
joyless,,,,,,,,,,,,,,,,,,,,
judged,,,,,,,,,,,,,,,,,,,,
kept apart,,,,,,,,,,,,,,,,,,,,
kept away,,,,,,,,,,,,,,,,,,,,
kept in,,,,,,,,,,,,,,,,,,,,
kept out,,,,,,,,,,,,,,,,,,,,
kept quiet,,,,,,,,,,,,,,,,,,,,
labeled,,,,,,,,,,,,,,,,,,,,
laughable,,,,,,,,,,,,,,,,,,,,
laughed at,,,,,,,,,,,,,,,,,,,,
lazy,,,,,,,,,,,,,,,,,,,,
leaned on,,,,,,,,,,,,,,,,,,,,
lectured to,,,,,,,,,,,,,,,,,,,,
left out,,,,,,,,,,,,,,,,,,,,
let down,,,,,,,,,,,,,,,,,,,,
